광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사
"삼성전자_삼성 갤럭시 S22 : 쭉 이어 활짝 이루다,리얼하게 포착하는 순간편_30",2022-05-27,30,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,크리에이티브멋
한국코카콜라_스프라이트 : STAY COOL Sprite편_15,2022-05-27,15,음료및기호식품,비알콜음료,사이다,한국코카콜라유한회사,(주)캐러트코리아,제일기획
바디프랜드_바디프랜드 : Be the Legend 손흥민편_15,2022-05-27,15,가정용품,가정용품기타,가정용품기타,주식회사 바디프랜드,TBWA KOREA(주),(주)바디프랜드
코빗_코빗:메이커 인센티브편_30,2022-05-27,30,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기타",주식회사 코빗,(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문
엘지전자_LG올레드TV:차원이 다른편_45,2022-05-27,45,가정용전기전자,영상기기,TV,엘지전자(주),(주)에이치에스애드,(주)꾸욱꾸욱
부산광역시선거관리위원회_투표참여:잊지 말고 투표하세요 수정편_20,2022-05-27,20,관공서및단체,단체,공공단체,부산광역시선거관리위원회,(주)애드맥스,애드맥스
테일러메이드코리아_ST 드라이버:드림챌린지편_15,2022-05-27,15,가정용품,"취미,레저용품",골프용품,(유)테일러메이드코리아,(주)이노션,이노션
기아_니로 플러스:새로운 모빌리티 생활편_30,2022-05-27,30,수송기기,승용자동차,다목적승용차,기아 주식회사,(주)이노션,스튜디오윌슨
유니세프_후원문의:우크라이나편_30,2022-05-27,30,관공서및단체,단체,민간단체,사단법인 유니세프한국위원회,(주)대홍기획,대홍기획
롯데컬처웍스_탑건매버릭:First Day편_30,2022-05-26,30,서비스,문화및공연,영화,롯데컬처웍스(주),(주)이노션,이노션
"아모레퍼시픽_해피바스 스킨유 샤워젤 : Be your scent, SKIN U편_30",2022-05-26,30,화장품및보건용품,모발 및 목욕용제,목욕및바디제품,(주)아모레퍼시픽,(주)제일기획,제일기획
"삼성전자_ BESPOKE 냉장고: ORIGINAL SERIES,와인냉장고편_30",2022-05-26,30,가정용전기전자,주방용전기전자,냉장고,삼성전자(주),(주)제일기획,제일기획
한국코카콜라_스프라이트 : STAY COOL Sprite편_15,2022-05-26,15,음료및기호식품,비알콜음료,사이다,한국코카콜라유한회사,(주)캐러트코리아,제일기획
"한양_한양 수자인 : 밸런스, 오늘의 집이 되다편_15",2022-05-26,15,"건설,건재및부동산","건설,건재및부동산기타","건설,건재및부동산기업PR",주식회사 한양,(주)디디비코리아,스페셜케미스트리
경남기업_용인 경남아너스빌 디센트:그랜드오픈_15,2022-05-26,15,"건설,건재및부동산",부동산임대및매매,아파트임대및매매,경남기업(주),(주)로빈스앤컴퍼니,아이스께끼 필름프러덕션
청안홀딩스_kc월드카프라자:수입차 공식인증 중고차편_20,2022-05-26,20,서비스,서비스기타,서비스기업PR,(주)청안홀딩스,(주)경남미디어,동영미디어
콜핑_콜핑 브랜드 PR : 가치있는 캠핑편_15,2022-05-26,15,패션,패션기타,패션기업PR,콜핑,(주)서현애드,프로덕션 모던
일동후디스_후디스 그릭요거트 : 어남선생의 그릭 레시피편_15,2022-05-26,15,음료및기호식품,비알콜음료,호상요구르트,일동후디스(주),(주)유니기획,(주)유니기획
국경없는의사회_정기후원:최용준편_30,2022-05-26,30,관공서및단체,단체,민간단체,국경없는의사회 한국,(주)커뮤니케이션 제이,(주)다인디자인컨설팅
롯데컬처웍스_탑건 매버릭 : 6월22일 대개봉편_15,2022-05-26,15,서비스,문화및공연,영화,롯데컬처웍스(주),(주)이노션,이노션
"롯데하이마트_하이마트 : 더위를 잊고 시원하게 놀래편,2차자막용_15",2022-05-26,15,유통,대형유통,전자테마점,롯데하이마트(주),(주)대홍기획,대홍기획
"삼성전자_ BESPOKE 냉장고:ORIGINAL SERIES,소믈리에앳홈편_15",2022-05-26,15,가정용전기전자,주방용전기전자,냉장고,삼성전자(주),(주)제일기획,제일기획
에스케이텔레콤_T우주:반려견 수정편_30,2022-05-26,30,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문
비겐의료기_비겐 탑앤탑 K-VG 8.5_지혜로운 선택편_30,2022-05-26,30,제약및의료,의료기기,의료기기기타,(주)비겐의료기,(주)준콤,주식회사 키이츠서울
국경없는의사회_국경없는의사회:최용준편_60,2022-05-26,60,관공서및단체,단체,민간단체,국경없는의사회 한국,(주)커뮤니케이션 제이,(주)다인디자인컨설팅
아모레퍼시픽_스킨유:살냄새처럼편_15,2022-05-26,15,화장품및보건용품,모발 및 목욕용제,목욕및바디제품,(주)아모레퍼시픽,(주)제일기획,제일기획
한국에스지아이_법화경:대구를 찾아옵니다편_20,2022-05-26,20,관공서및단체,단체,종교단체,재)한국에스.지.아이,(주)에스비에스엠앤씨,(주)에스비에스엠앤씨
엘지전자_LG올레드TV:차원이 다른편_30,2022-05-26,30,가정용전기전자,영상기기,TV,엘지전자(주),(주)에이치에스애드,(주)꾸욱꾸욱
롯데제과_설레임:선풍기편_15,2022-05-26,15,식품,아이스크림,아이스크림제품종합,롯데제과(주),(주)대홍기획,대홍기획
삼진제약_안정액:안정을 찾으세요편_15,2022-05-26,15,제약및의료,진통제및안정제,진통제및안정제기타,삼진제약(주),(주)이노션,이노션
동국제약_마데카솔 : 상처마법사편_15,2022-05-26,15,제약및의료,두피및피부용제,피부질환치료제,동국제약(주),동국헬스케어홀딩스(주),(주)크레마
해광가구_빛고을 가구백화점:6월 입주 및 혼수가구 할인대잔치편_20,2022-05-26,20,유통,"소형,소매유통",가구대리점,해광가구(주),비스컴(주),주)프로덕션고추잠자리
"건양사이버대학교_2022 학년도 후기 신입생,편입생 모집:나를 바꾸는 대학, 김태균편_20",2022-05-26,20,교육및복지후생,교육기관,대학대학원,건양사이버대학교,(주)하이브파트너스,(주)하이브파트너스
티엠라이징_천안 부성지구 한라비발디:6월 오픈 예정편_30,2022-05-26,30,"건설,건재및부동산",건설,건설,(주)티엠라이징,주식회사 스웨이브,음악다방
삼성전자_비스포크 냉장고:키친핏 수정편_30,2022-05-26,30,가정용전기전자,주방용전기전자,냉장고,삼성전자(주),(주)제일기획,제일기획
미로우미디어_DB내맘에쏙드는건강보험:캠핑화로 증정편_120,2022-05-26,120,"금융,보험및증권",금융및보험,손해보험,미로우미디어,미입력,미입력
전진기업_우수중소기업 농특산물 박람회:힘내라편_20,2022-05-26,20,서비스,문화및공연,"전시, 박람회 및 학술회의",전진기업,올리브미디어(주),올리브미디어(주)
롯데제과_설레임:반신욕 맵부심편_15,2022-05-26,15,식품,아이스크림,아이스크림제품종합,롯데제과(주),(주)대홍기획,대홍기획
"비겐의료기_비겐 탑앤탑 VG 8.5 : 이솔로몬의 지혜로운 선택,탭댄스편",2022-05-26,15,제약및의료,의료기기,의료기기기타,(주)비겐의료기,(주)준콤,주식회사 키이츠서울
롯데제과_설레임:VR권투 혼공편_15,2022-05-26,15,식품,아이스크림,아이스크림제품종합,롯데제과(주),(주)대홍기획,대홍기획
"더존비즈온_더존 Amaranth 10 : 미래,기능 통합편_60",2022-05-26,60,컴퓨터및정보통신,컴퓨터S/W,컴퓨터S/W기타,(주)더존비즈온,(주)애드씨케이,루트66
롯데제과_설레임 : 선풍기+공부편_15,2022-05-26,15,식품,아이스크림,아이스크림제품종합,롯데제과(주),(주)대홍기획,대홍기획
현대프리미엄아울렛_2022 현대프리미엄아울렛 : 대전점 오픈_45,2022-05-26,45,유통,대형유통,복합쇼핑몰,현대프리미엄아울렛,주식회사 비원기획,주식회사 비원기획
삼성전자_비스포크 : 멀티팬트리_30,2022-05-26,30,가정용전기전자,주방용전기전자,냉장고,삼성전자(주),(주)제일기획,제일기획
롯데컬처웍스_탑건 매버릭 : 압도적 항공액션편_30,2022-05-26,30,서비스,문화및공연,영화,롯데컬처웍스(주),(주)이노션,이노션
한국코카콜라_스프라이트 : STAY COOL Sprite편_30,2022-05-26,30,음료및기호식품,비알콜음료,사이다,한국코카콜라유한회사,(주)캐러트코리아,제일기획
생활공작소_생활공작소 기업PR : 오늘도 꽤 생공적편_30,2022-05-26,30,그룹및기업광고,기타광고,기타기업PR,주식회사 생활공작소,(주)이노션,이노션
"비겐의료기_비겐 탑앤탑 VG 8.5 : 이솔로몬의 지혜로운 선택,탭댄스편",2022-05-26,15,제약및의료,의료기기,의료기기기타,(주)비겐의료기,(주)준콤,주식회사 키이츠서울
롯데컬처웍스_탑건 매버릭 : 모두가 기다린 그가 온다편_15,2022-05-26,15,서비스,문화및공연,영화,롯데컬처웍스(주),(주)이노션,이노션
김정영분식면옥향천_면옥향천_20,2022-05-26,20,식품,식품기타,식품기타,김정영분식면옥향천,주식회사타겟커뮤니케이션즈,(주)타겟커뮤니케이션즈
삼성전자_비스포크 : 듀얼아이스_30,2022-05-26,30,가정용전기전자,주방용전기전자,냉장고,삼성전자(주),(주)제일기획,제일기획
한국코카콜라_Sprite : 버스정류장편_15,2022-05-26,15,음료및기호식품,비알콜음료,사이다,한국코카콜라유한회사,(주)캐러트코리아,제일기획
삼성전자_삼성 BESPOKE 그랑데 AI : 세탁기 25kg 대용량 출시편_30,2022-05-26,30,가정용전기전자,가사용전기전자,세탁기및건조기,삼성전자(주),(주)제일기획,제일기획
에이더블유시스템즈_메가젠 임플란트 : K 임플란트 메가젠편_15,2022-05-26,15,서비스,서비스기타,서비스기타,주식회사 에이더블유시스템즈,(주)제이엠애드,(주)제이엠애드
국경없는의사회_정기후원:최용준편_30,2022-05-26,30,관공서및단체,관공서및단체기타,관공서및단체기업PR,국경없는의사회,미입력,미입력
삼성전자_그랑데AI : 종합_45,2022-05-26,45,가정용전기전자,가사용전기전자,세탁기및건조기,삼성전자(주),(주)제일기획,제일기획
바이포엠에프앤티_당치땡 : 당신은지금치킨이땡긴다편_15,2022-05-26,15,식품,식품기타,식품기타,주식회사 바이포엠에프앤티,비아이지아이 주식회사,비아이지아이(주)
경남여성일과미래창조_일생활균형:워라밸편_20,2022-05-26,20,관공서및단체,단체,공공단체,사단법인경남여성일과미래창조,(주)클리오,클리오
아르떼미디어_폐점상품 정리:구 뉴코아 엔씨백화점 행사편_15,2022-05-26,15,유통,유통기타,유통기타,아르떼미디어(Arte media),(주)서현애드,프로덕션 모던
"삼성전자_삼성 BESPOKE 냉장고:BESPOKE ORIGINAL SERIES,종합편_60",2022-05-26,60,가정용전기전자,주방용전기전자,냉장고,삼성전자(주),(주)제일기획,제일기획
"진티비_진티비 브랜드PR : 미스미시즈 선발대회,런칭편_20",2022-05-26,20,서비스,광고및정보서비스,광고대행,진티비,진티비,진티비
엘지전자_LG OLED evo : 더 커진 세상편_45,2022-05-26,45,가정용전기전자,영상기기,TV,엘지전자(주),(주)에이치에스애드,(주)꾸욱꾸욱
한국피앤지판매_페브리즈 실내 공간용 : 1400시간 파워탈취편_15,2022-05-26,15,가정용품,방취및방균제,방취및방향제,한국피앤지판매 유한회사,(주)캐러트코리아,뮤지엄컨텐츠
중앙선거관리위원회_제8회 전국동시지방선거: 투표참여편_40,2022-05-25,40,관공서및단체,관공서및단체기타,관공서및단체기타,중앙선거관리위원회,미입력,미입력
기아_니로 플러스 : 자동차의 공간을 우리 마음대로편_30,2022-05-25,30,수송기기,승용자동차,다목적승용차,기아 주식회사,(주)이노션,스튜디오윌슨
으뜸한우_으뜸한우직판장:1등급 한우 전문점편_20,2022-05-25,20,식품,축산품,축산품기타,으뜸한우,(주)우일기획,주)프로덕션고추잠자리
칼스버그_1664 블랑:옥상 테라스 파티편_15,2022-05-25,15,음료및기호식품,알콜음료,맥주,Carlsberg Breweries A/S,(주)유니버설맥켄코리아,유니버설맥켄코리아
"메세코리아_2022부산 차, 공예박람회_20",2022-05-25,20,서비스,문화및공연,"전시, 박람회 및 학술회의",(주)메세코리아,(주)애드맥스,애드맥스
광동제약_비타500 : 온국민온에어 서울 한채은편_15,2022-05-25,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
빅토 미술로생각하기_미술로생각하기:여름 이벤트편_15,2022-05-25,15,교육및복지후생,교육기관,교육기관기타,(주)빅토 미술로생각하기,(주)미쓰윤,미쓰윤
보성산업개발_청량리 한양아트포레스트:홍보관 개관중편_15,2022-05-25,15,"건설,건재및부동산",건설,건설,보성산업개발,미입력,미입력
삼성전자_삼성 BESPOKE 무풍에어컨 : 무풍 Air Design Project편_30,2022-05-25,30,가정용전기전자,냉방및공기청정기,에어컨,삼성전자(주),(주)제일기획,제일기획
삼성전자_무풍에어컨  : 공간_30,2022-05-25,30,가정용전기전자,냉방및공기청정기,에어컨,삼성전자(주),(주)제일기획,제일기획
녹색영동조합법인_정남진 수목원 : 수국꽃축제_20,2022-05-25,20,서비스,서비스기타,서비스기타,녹색영농조합법인,(주)우일기획,(주)우일기획
스케쳐스코리아_스케쳐스 고워크 : Hyper burst편_15,2022-05-25,15,패션,신발류,스포츠화,주식회사 스케쳐스코리아,(주)제일기획,제일기획
월트디즈니컴퍼니코리아_미즈마블 : 6월 단독공개_15,2022-05-25,15,서비스,서비스기타,서비스기타,월트디즈니컴퍼니코리아 유한책임회사,레오버넷(주),비디오브라더스
봄소와광주점_개점10주년 감사세일 행사 홍보_20,2022-05-25,20,가정용품,가구류,가구류제품종합,봄소와광주점,(주)우일기획,(주)우일기획
"삼성전자_삼성 BESPOKE 그랑데 AI : 그랑데 AI와 사는 세상,종합편_45",2022-05-25,45,가정용전기전자,가사용전기전자,세탁기및건조기,삼성전자(주),(주)제일기획,제일기획
삼성전자_삼성 BESPOKE 무풍에어컨 : 공간편_30,2022-05-25,30,가정용전기전자,냉방및공기청정기,에어컨,삼성전자(주),(주)제일기획,제일기획
샤넬코리아_블루 드 샤넬 오 드 빠르펭 : 남성을 위한 향수편_30,2022-05-25,30,화장품및보건용품,남성화장품,남성기초화장품,샤넬코리아(주),옴니콤미디어그룹코리아(주),옴니콤미디어그룹코리아(주)
롯데칠성음료_아쿠쿠아 : 공모전 시즌2_30,2022-05-25,30,음료및기호식품,비알콜음료,기타과실음료,롯데칠성음료(주),(주)대홍기획,대홍기획
중앙선거관리위원회_제8회 전국동시지방선거 : 투표참여_30,2022-05-25,30,관공서및단체,중앙및지방관공서,중앙관공서,중앙선거관리위원회,서비스플랜코리아,서비스플랜코리아 (주)
에몬스가구서광주점_에몬스가구서광주 전시장 : 개점7주년특별세일_20,2022-05-25,20,가정용품,가구류,가구류제품종합,(주)에몬스가구서광주전시장,(주)우일기획,(주)우일기획
한국미술협회울산지회_울산글로컬아트마켓 : 갤러리_20,2022-05-25,20,서비스,문화및공연,문화및공연기타,(사)한국미술협회울산지회,(주)팝콘커뮤니케이션,팝콘커뮤니케이션
에이플네이처_칼로바이 키스프레소 : 키스프레소 다이어트편_15,2022-05-25,15,식품,건강식품,다이어트식품,주식회사 에이플네이처,(주)더쏠트,얼리하이
삼성전자_삼성 BESPOKE 무풍에어컨 : 무풍 Air Design Project편_30,2022-05-25,30,가정용전기전자,냉방및공기청정기,에어컨,삼성전자(주),(주)제일기획,제일기획
중앙선거관리위원회_제8회 전국동시지방선거 : 투표참여_15,2022-05-25,15,관공서및단체,중앙및지방관공서,중앙관공서,중앙선거관리위원회,서비스플랜코리아,서비스플랜코리아 (주)
월드비전_월드비전:세계시민선언편_60,2022-05-25,60,관공서및단체,단체,민간단체,사회복지법인월드비전,(주)하쿠호도제일,하쿠호도제일
중앙선거관리위원회_제8회 전국동시지방선거:아름다운 선거편_40,2022-05-25,40,관공서및단체,중앙및지방관공서,중앙관공서,중앙선거관리위원회,서비스플랜코리아,서비스플랜코리아 (주)
삼성전자_삼성 비스포크 그랑데 AI:대용량펫편_30,2022-05-25,30,가정용전기전자,가사용전기전자,세탁기및건조기,삼성전자(주),(주)제일기획,제일기획
한국지엠_쉐보레 더 넥스트 이쿼녹스:모어편_30,2022-05-25,30,수송기기,수입자동차,수입다목적승용차,한국지엠 주식회사,(주)캐러트코리아,제일기획
삼성전자_무풍에어컨:폭염 수정편_15,2022-05-25,15,가정용전기전자,냉방및공기청정기,에어컨,삼성전자(주),(주)제일기획,제일기획
서해스파랜드_서해스파랜드:오세요편_20,2022-05-25,20,서비스,서비스기타,서비스기타,서해스파랜드,(주)빅애드컴,(주)빅애드컴
삼성전자_무풍 시스템에어컨:맞추다편_30,2022-05-25,30,가정용전기전자,냉방및공기청정기,에어컨,삼성전자(주),(주)제일기획,제일기획
메세코리아_대구국제차공예박람회:초대합니다편_20,2022-05-25,20,서비스,문화및공연,"전시, 박람회 및 학술회의",(주)메세코리아,(주)애드밸리인디자인,리프로덕션
한국지엠_쉐보레 더 넥스트 이쿼녹스:모어편_15,2022-05-25,15,수송기기,수입자동차,수입다목적승용차,한국지엠 주식회사,(주)캐러트코리아,제일기획
라이트하우스코스메틱_베리홉:경험하세요편_15,2022-05-25,15,화장품및보건용품,여성기초화장품,여성일반기초화장품,라이트하우스코스메틱,(주)에스비에스엠앤씨,(주)에스비에스엠앤씨
삼진메디올_삼진메디올:브라보유어시니어라이프편_20,2022-05-25,20,제약및의료,제약및의료기타,제약및의료기타,삼진메디올 주식회사,(주)팝콘커뮤니케이션,팝콘커뮤니케이션
스케쳐스코리아_스케쳐스 아치핏:경험해 보세요편_15,2022-05-25,15,패션,신발류,스포츠화,주식회사 스케쳐스코리아,(주)제일기획,제일기획
대전관저가구단지공_관저가구단지경품대잔치:갑시다편_20,2022-05-25,20,유통,"소형,소매유통",가구대리점,대전관저가구단지공,(주)오렌지나인,(주)오렌지나인
홍시_구 뉴코아 엔씨백화점 행사:놓치지 마십쇼편_20,2022-05-25,20,유통,유통기타,유통기타,홍시,(주)서현애드,프로덕션 모던
홍시_블랙야크 인후점 폐점상품정리:놓치지 마십쇼편_30,2022-05-25,30,유통,유통기타,유통기타,홍시,(주)서현애드,프로덕션 모던
엘엑스하우시스_LX지인 인테리어 : Quality interior for Life편_30,2022-05-25,30,가정용품,가정용인테리어,가정용인테리어제품종합,주식회사 엘엑스하우시스,(주)에이치에스애드,브라보
한양_청량리역 한양수자인 아트포레스트_15,2022-05-25,15,"건설,건재및부동산",건설,건설,주식회사 한양,주식회사 스웨이브,음악다방
중앙선거관리위원회_제8회 전국동시지방선거 : 투표참여_20,2022-05-25,20,관공서및단체,중앙및지방관공서,중앙관공서,중앙선거관리위원회,서비스플랜코리아,서비스플랜코리아 (주)
오산시청_AI 교육도시 오산:메타버스를 더하다편_15,2022-05-24,15,관공서및단체,중앙및지방관공서,지방자치단체,오산시청,한국언론진흥재단,맥스인피니티
비와이엔블랙야크_그린야크:친한 티냄편_15,2022-05-24,15,패션,스포츠전문복,등산및낚시복,(주)비와이엔블랙야크,(주)대홍기획,대홍기획
광동제약_비타500:온국민 온에어 장터순대국편_15,2022-05-24,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
삼성전자_Neo QLED 8K:콘텐츠 대개봉편_45,2022-05-24,45,가정용전기전자,영상기기,TV,삼성전자(주),(주)제일기획,제일기획
스마일클럽_통합멤버십 스마일클럽:일냈다 통합편_15,2022-05-24,15,서비스,서비스기타,서비스기타,스마일클럽(공동),(주)오리콤,이본부
땡글이_운정가구단지:가구박람회편_15,2022-05-24,15,서비스,서비스기타,서비스기타,땡글이,(주)휴엔아이,(주)휴엔아이
광동제약_비타500:온국민 온에어 탁윤주편_15,2022-05-24,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
메디앤비테크_스마트바디크린:삶의 동반자편_20,2022-05-24,20,제약및의료,의료기기,의료기기기타,메디엔비테크,(주)사운드타워,(주)사운드타워
광동제약_비타500:온국민 온에어 김영편_15,2022-05-24,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
광동제약_비타500:온국민 온에어 백지연편_15,2022-05-24,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
삼성전자_Neo QLED 8K:지구를 위한 빅픽처 수정편_45,2022-05-24,45,가정용전기전자,영상기기,TV,삼성전자(주),(주)제일기획,제일기획
경남기업_장흥역 경남아너스빌: 북한산뷰편_30,2022-05-24,30,"건설,건재및부동산",부동산임대및매매,아파트임대및매매,경남기업(주),(주)로빈스앤컴퍼니,아이스께끼 필름프러덕션
금호타이어_금호타이어 : 뉘르부르크링편_15,2022-05-24,15,수송기기,수송기기부품및용품,수송기기부품및용품기타,금호타이어(주),TBWA KOREA(주),TBWA KOREA
"코웨이_룰루:룰루를 쓴다는 건 관리 좀 받는다는 것,모자편_30",2022-05-24,30,가정용전기전자,가정용전기전자기타,가정용전기전자기타,코웨이(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문
삼성전자_삼성 Neo QLED 8K : 초대형 8K의 시대편_45,2022-05-24,45,가정용전기전자,영상기기,TV,삼성전자(주),(주)제일기획,제일기획
"스마일클럽_스마일클럽 브랜드 프로모션 : 멤버십 유니버스의 시작, 통합편_30",2022-05-24,30,서비스,서비스기타,서비스기타,스마일클럽(공동),(주)오리콤,이본부
문화자동차운전전문학원_브랜드 홍보:대형운전면허취득편_20,2022-05-24,20,서비스,서비스기타,서비스기타,(주)문화자동차운전전문학원,(주)빅애드컴,(주)빅애드컴
광동제약_비타500 : 온국민온에어_서울시 한채은님 영상편_15,2022-05-24,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
"보건복지부_금연캠페인 : 괜찮은 담배는 없습니다,비흡연자편_30",2022-05-24,30,관공서및단체,중앙및지방관공서,중앙관공서,보건복지부,한국언론진흥재단,버튼크리에이티브
광동제약_비타500 : 온국민온에어_인천시 복진주님 영상편_15,2022-05-24,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
프리드라이프_상조보험_120,2022-05-24,120,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",프리드라이프,미입력,미입력
"동우개발_중앙하이츠:사람을 중앙에,삶을 중앙에편_15",2022-05-24,15,"건설,건재및부동산",건설,건설,동우개발,미입력,미입력
삼성전자_삼성 Neo QLED 8K : 콘텐츠 빅뱅의 시대편_45,2022-05-24,45,가정용전기전자,영상기기,TV,삼성전자(주),(주)제일기획,제일기획
"스마일클럽_스마일클럽 브랜드 프로모션 : 멤버십 유니버스의 시작, 통합편_30",2022-05-24,30,서비스,서비스기타,서비스기타,스마일클럽(공동),(주)오리콤,이본부
코웨이_코웨이 룰루 더블케어 : 임산부일수록 관리받는 룰루 비데편_30,2022-05-24,30,가정용전기전자,가정용전기전자기타,가정용전기전자기타,코웨이(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문
"광동제약_비타500 : 온국민온에어,성남시 진대호 영상편_15",2022-05-24,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
삼성전자_삼성 Neo QLED 8K : 콘텐츠 빅뱅의 시대편_30,2022-05-24,30,가정용전기전자,영상기기,TV,삼성전자(주),(주)제일기획,제일기획
더케이예다함상조_예다함 : 예다함의 장례지도사편_15,2022-05-24,15,서비스,개인서비스,경조서비스,더케이예다함상조(주),TBWA KOREA(주),TBWA KOREA
보건복지부_괜찮은 담배는 없습니다_흡연자편_30,2022-05-24,30,관공서및단체,중앙및지방관공서,중앙관공서,보건복지부,한국언론진흥재단,버튼크리에이티브
교촌에프앤비_교촌치킨 : 초심편_15,2022-05-24,15,식품,축산품,치킨가공품,교촌에프앤비(주),TBWA KOREA(주),TBWA KOREA
광동제약_비타500 : 남양주 강성현_15,2022-05-24,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
광동제약_비타500 : 서울 김다솜_15,2022-05-24,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,광동제약(주),주식회사 케이디엠코,RUNLAB
삼성전자_삼성 Neo QLED 8K : 콘텐츠빅뱅의 시대_30,2022-05-24,30,가정용전기전자,영상기기,TV,삼성전자(주),(주)제일기획,제일기획
삼성전자_삼성 Neo QLED 8K : 초대형 8K의 시대_60,2022-05-24,60,가정용전기전자,영상기기,TV,삼성전자(주),(주)제일기획,제일기획
센텀소프트_치치핑핑:컬러링페이퍼편_20,2022-05-23,20,유통,"소형,소매유통","소형,소매유통제품종합",주식회사센텀소프트,직거래,(주)재능방송
아이더스코리아_푸라닭 바질페스타:상상 그 이상의 맛편_15,2022-05-23,15,서비스,음식및숙박,기타프랜차이즈점,(주)아이더스코리아,(주)제일기획,제일기획
굿뜨래경영사무소_부여군 굿뜨래:수박편_20,2022-05-23,20,식품,농산품,과실류원산,굿뜨래경영사무소,(주)마제스타지,주식회사 마제스타지
진도군청_명량해상케이블카 홍보:하늘에서 만나는 명량대첩편_20,2022-05-23,20,관공서및단체,관공서및단체기타,관공서및단체제품종합,진도군청,한국언론진흥재단,영아트미디어
군산필스_세일행사:여자가 행복해지는 해피 세일편_20,2022-05-23,20,패션,정장의류,모피가죽의류,군산필스,애드엔피플,(주)애드엔피플
삼화식품공사_삼화 만능 된장:레디액션편_15,2022-05-23,15,식품,조미향신료,장류,삼화식품공사,호키포키컴퍼니,엘크로
"삼화식품공사_삼화 만능 된장:척척척 만능 된장,된장찌개편_15",2022-05-23,15,식품,조미향신료,장류,삼화식품공사,호키포키컴퍼니,엘크로
"홍시_사료영양학교실 대림팜스:안전,건강,착한가격편_20",2022-05-23,20,식품,식품기타,식품기타,홍시,(주)서현애드,프로덕션 모던
휴먼베이스파트너스_시지삼정그린코아포레스트:직접보고서편_30,2022-05-23,30,"건설,건재및부동산","건설,건재및부동산기타","건설,건재및부동산기타",주식회사 휴먼베이스파트너스,(주)애드메이저,애드메이저
경찰청_보이스피싱예방 캠페인 : 보이스피싱 이웃 지킴이편_30,2022-05-23,30,관공서및단체,관공서및단체기타,관공서및단체기업PR,경찰청,미입력,미입력
양들의평화_씨오토몰:중고차매매의 새로운 역사편_20,2022-05-23,20,서비스,서비스기타,서비스기타,주식회사양들의평화,주식회사 제이엔프로,(주)제이엔프로
아르떼미디어_명품행사:반값대처분편_30,2022-05-23,30,기초재,농축수산기초재,종묘,아르떼미디어(Arte media),(주)서현애드,프로덕션 모던
명인제약_이가탄 에프 : 찌개편_15,2022-05-23,15,제약및의료,제약및의료기타,제약및의료기타,명인제약(주),(주)명애드컴,(주)티키타카
삼성전자_삼성 갤럭시 Z 폴드3 : 나를 새로 활짝편_30,2022-05-23,30,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,러브앤드머니
제스프리인터내셔날코리아_제스프리 : 오늘부터 시작하는 즐거운 건강습관편_15,2022-05-23,15,식품,농산품,과실류원산,제스프리인터내셔날코리아(유),파울러스,파울러스
아이더스코리아_푸라닭치킨 : 바질페스타_30,2022-05-23,30,서비스,음식및숙박,기타프랜차이즈점,(주)아이더스코리아,(주)제일기획,제일기획
군산필스_세일행사:2022신상품 핫 세일편_20,2022-05-23,20,서비스,서비스기타,서비스기타,군산필스,애드엔피플,(주)애드엔피플
대상라이프사이언스_뉴케어 액티브 골든밸런스 : 친구편_15,2022-05-23,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,대상라이프사이언스(주),(주)타이타늄22,타이타늄22
